Specification,Color name,Hex rgb,Decimal
Level 1,aliceblue,#f0f8ff,240248255
Level 1,antiquewhite,#faebd7,250235215
Level 1,aqua,#00ffff,"0,255,255"
Level 1,aquamarine,#7fffd4,127255212
Level 1,azure,#f0ffff,240255255
Level 1,beige,#f5f5dc,245245220
Level 1,bisque,#ffe4c4,255228196
Level 1,black,#000000,"0,0,0"
Level 1,blanchedalmond,#ffebcd,255235205
Level 1,blue,#0000ff,"0,0,255"
Level 1,blueviolet,#8a2be2,"138,43,226"
Level 1,brown,#a52a2a,"165,42,42"
Level 1,burlywood,#deb887,222184135
Level 1,cadetblue,#5f9ea0,95158160
Level 1,chartreuse,#7fff00,"127,255,0"
Level 1,chocolate,#d2691e,"210,105,30"
Level 2,coral,#ff7f50,"255,127,80"
Level 2,cornflowerblue,#6495ed,100149237
Level 2,cornsilk,#fff8dc,255248220
Level 2,crimson,#dc143c,"220,20,60"
Level 2,cyan,#00ffff,"0,255,255"
Level 2,darkblue,#00008b,"0,0,139"
Level 2,darkcyan,#008b8b,"0,139,139"
Level 2,darkgoldenrod,#b8860b,"184,134,11"
Level 2,darkgray,#a9a9a9,169169169
Level 2,darkgreen,#006400,"0,100,0"
Level 2,darkgrey,#a9a9a9,169169169
Level 2,darkkhaki,#bdb76b,189183107
Level 2,darkmagenta,#8b008b,"139,0,139"
Level 2,darkolivegreen,#556b2f,"85,107,47"
Level 2,darkorange,#ff8c00,"255,140,0"
Level 2,darkorchid,#9932cc,"153,50,204"
Level 3,darkred,#8b0000,"139,0,0"
Level 3,darksalmon,#e9967a,233150122
Level 3,darkseagreen,#8fbc8f,143188143
Level 3,darkslateblue,#483d8b,"72,61,139"
Level 3,darkslategray,#2f4f4f,"47,79,79"
Level 3,darkslategrey,#2f4f4f,"47,79,79"
Level 3,darkturquoise,#00ced1,"0,206,209"
Level 3,darkviolet,#9400d3,"148,0,211"
Level 3,deeppink,#ff1493,"255,20,147"
Level 3,deepskyblue,#00bfff,"0,191,255"
Level 3,dimgray,#696969,105105105
Level 3,dimgrey,#696969,105105105
Level 3,dodgerblue,#1e90ff,30144255
Level 3,firebrick,#b22222,"178,34,34"
Level 3,floralwhite,#fffaf0,255250240
Level 3,forestgreen,#228b22,"34,139,34"
Level 3,fuchsia,#ff00ff,"255,0,255"
Level 3,gainsboro,#dcdcdc,220220220
Level 3,ghostwhite,#f8f8ff,248248255
Level 3,gold,#ffd700,"255,215,0"
Level 3,goldenrod,#daa520,"218,165,32"
Level 3,gray,#808080,128128128
Level 3,green,#008000,"0,128,0"
Level 3,greenyellow,#adff2f,"173,255,47"
Level 3,grey,#808080,128128128
Level 3,honeydew,#f0fff0,240255240
Level 3,hotpink,#ff69b4,255105180
Level 3,indianred,#cd5c5c,"205,92,92"
Level 3,indigo,#4b0082,"75,0,130"
Level 3,ivory,#fffff0,255255240
Level 3,khaki,#f0e68c,240230140
Level 3,lavender,#e6e6fa,230230250
Level 3,lavenderblush,#fff0f5,255240245
Level 3,lawngreen,#7cfc00,"124,252,0"
Level 3,lemonchiffon,#fffacd,255250205
Level 3,lightblue,#add8e6,173216230
Level 3,lightcoral,#f08080,240128128
Level 3,lightcyan,#e0ffff,224255255
Level 3,lightgoldenrodyellow,#fafad2,250250210
Level 3,lightgray,#d3d3d3,211211211
Level 3,lightgreen,#90ee90,144238144
Level 3,lightgrey,#d3d3d3,211211211
Level 3,lightpink,#ffb6c1,255182193
Level 3,lightsalmon,#ffa07a,255160122
Level 3,lightseagreen,#20b2aa,32178170
Level 3,lightskyblue,#87cefa,135206250
Level 3,lightslategray,#778899,119136153
Level 3,lightslategrey,#778899,119136153
Level 3,lightsteelblue,#b0c4de,176196222
Level 3,lightyellow,#ffffe0,255255224
Level 3,lime,#00ff00,"0,255,0"
Level 3,limegreen,#32cd32,"50,205,50"
Level 3,linen,#faf0e6,250240230
Level 3,magenta,#ff00ff,"255,0,255"
Level 3,maroon,#800000,"128,0,0"
Level 3,mediumaquamarine,#66cdaa,102205170
Level 3,mediumblue,#0000cd,"0,0,205"
Level 3,mediumorchid,#ba55d3,"186,85,211"
Level 3,mediumpurple,#9370db,147112219
Level 3,mediumseagreen,#3cb371,60179113
Level 3,mediumslateblue,#7b68ee,123104238
Level 3,mediumspringgreen,#00fa9a,"0,250,154"
Level 3,mediumturquoise,#48d1cc,72209204
Level 3,mediumvioletred,#c71585,"199,21,133"
Level 3,midnightblue,#191970,"25,25,112"
Level 3,mintcream,#f5fffa,245255250
Level 3,mistyrose,#ffe4e1,255228225
Level 3,moccasin,#ffe4b5,255228181
Level 3,navajowhite,#ffdead,255222173
Level 3,navy,#000080,"0,0,128"
Level 3,oldlace,#fdf5e6,253245230
Level 3,olive,#808000,"128,128,0"
Level 3,olivedrab,#6b8e23,"107,142,35"
Level 3,orange,#ffa500,"255,165,0"
Level 3,orangered,#ff4500,"255,69,0"
Level 3,orchid,#da70d6,218112214
Level 3,palegoldenrod,#eee8aa,238232170
Level 3,palegreen,#98fb98,152251152
Level 3,paleturquoise,#afeeee,175238238
Level 3,palevioletred,#db7093,219112147
Level 3,papayawhip,#ffefd5,255239213
Level 3,peachpuff,#ffdab9,255218185
Level 3,peru,#cd853f,"205,133,63"
Level 3,pink,#ffc0cb,255192203
Level 3,plum,#dda0dd,221160221
Level 3,powderblue,#b0e0e6,176224230
Level 3,purple,#800080,"128,0,128"
Level 3,red,#ff0000,"255,0,0"
Level 3,rosybrown,#bc8f8f,188143143
Level 3,royalblue,#4169e1,65105225
Level 3,saddlebrown,#8b4513,"139,69,19"
Level 3,salmon,#fa8072,250128114
Level 3,sandybrown,#f4a460,"244,164,96"
Level 3,seagreen,#2e8b57,"46,139,87"
Level 3,seashell,#fff5ee,255245238
Level 3,sienna,#a0522d,"160,82,45"
Level 3,silver,#c0c0c0,192192192
Level 3,skyblue,#87ceeb,135206235
Level 4,slateblue,#6a5acd,"106,90,205"
Level 4,slategray,#708090,112128144
Level 4,slategrey,#708090,112128144
Level 4,snow,#fffafa,255250250
Level 4,springgreen,#00ff7f,"0,255,127"
Level 4,steelblue,#4682b4,70130180
Level 4,tan,#d2b48c,210180140
Level 4,teal,#008080,"0,128,128"
Level 4,thistle,#d8bfd8,216191216
Level 4,tomato,#ff6347,"255,99,71"
Level 4,turquoise,#40e0d0,64224208
Level 4,violet,#ee82ee,238130238
Level 4,wheat,#f5deb3,245222179
Level 4,white,#ffffff,255255255
Level 4,whitesmoke,#f5f5f5,245245245
Level 4,yellow,#ffff00,"255,255,0"
Level 4,yellowgreen,#9acd32,"154,205,50"
